PMID,Title,Authors,First Author,DOI,Publication Year,len
25804741,Activin A directs striatal projection neuron differentiation of human pluripotent stem cells,"Arber C, Precious SV, Cambray S, Risner-Janiczek JR, Kelly C, Noakes Z, Fjodorova M, Heuer A, Ungless MA, Rodríguez TA, Rosser AE, Dunnett SB, Li M.",Arber C,10.1242/dev.117093,2015,12
30269903,Homeostatic Epidermal Stem Cell Self-Renewal Is Driven by Local Differentiation,"Mesa KR, Kawaguchi K, Cockburn K, Gonzalez D, Boucher J, Xin T, Klein AM, Greco V.",Mesa KR,10.1016/j.stem.2018.09.005,2018,10
29109829,"Cytotoxicity of Etch-and-Rinse, Self-Etch, and Universal Dental Adhesive Systems in Fibroblast Cell Line 3T3","Pupo YM, Bernardo CFF, de Souza FFFA, Michél MD, Ribeiro CNM, Germano S, Maluf DF.",Pupo YM,10.1155/2017/9650420,2017,14
27288309,Allogeneic chondrogenically differentiated human mesenchymal stromal cells do not induce immunogenic responses from T lymphocytes in vitro,"Kiernan CH, Hoogduijn MJ, Franquesa M, Wolvius EB, Brama PAJ, Farrell E.",Kiernan CH,10.1016/j.jcyt.2016.05.002,2016,17
30517969,Understanding Secure Messaging in the Inpatient Environment: A New Avenue for Communication and Patient Engagement,"Sieck CJ, Walker DM, Hefner JL, Volney J, Huerta TR, McAlearney AS.",Sieck CJ,10.1055/s-0038-1675814,2018,15
30306172,Selective intracellular delivery and intracellular recordings combined in MEA biosensors,"Cerea A, Caprettini V, Bruno G, Lovato L, Melle G, Tantussi F, Capozza R, Moia F, Dipalo M, De Angelis F.",Cerea A,10.1039/c8lc00435h,2018,10
32284343,"Actively Doing Less: Deimplementation of Unnecessary Interventions in Bronchiolitis Care Across Urgent Care, Emergency Department, and Inpatient Settings","Berg K, Nedved A, Richardson T, Montalbano A, Michael J, Johnson M.",Berg K,10.1542/hpeds.2019-0284,2020,18
30852370,Sertoli cell-mediated differentiation of bovine fetal mesenchymal stem cells into germ cell lineage using an in vitro co-culture system,"Segunda MN, Bahamonde J, Muñoz I, Sepulveda S, Cortez J, De Los Reyes M, Palomino J, Torres CG, Peralta OA.",Segunda MN,10.1016/j.theriogenology.2019.02.034,2019,19
29938755,Plasticity of human adipose-derived stem cells - relevance to tissue repair,"Guasti L, New SE, Hadjidemetriou I, Palmiero M, Ferretti P.",Guasti L,10.1387/ijdb.180074pf,2018,11
31426551,The Effects of Different Dynamic Culture Systems on Cell Proliferation and Osteogenic Differentiation in Human Mesenchymal Stem Cells,"Tsai HH, Yang KC, Wu MH, Chen JC, Tseng CL.",Tsai HH,10.3390/ijms20164024,2019,18
27500445,Protocol for the Direct Conversion of Murine Embryonic Fibroblasts into Trophoblast Stem Cells,"Kubaczka C, Schorle H.",Kubaczka C,10.3791/54277,2016,13
33398360,"Patients Desire Personalized, Specific, and Continuous Advice on Weight Management","Pfoh ER, Flench R, Varghai NH, King M, Heinberg LJ.",Pfoh ER,10.14423/SMJ.0000000000001196,2021,10
31656242,Validity and Reliability of the Japanese Version of the 10-Item Perceived Efficacy in Patient-Physician Interactions (PEPPI-10) Scale in Breast Cancer Outpatients,"Matsuda A, Inoue K, Momiyama M, Kobayashi K, Kubota K, Ohkubo T, Fischer MJ, Kroep JR, Ramai SSRS, Kaptein AA, Yamaoka K.",Matsuda A,10.1620/tjem.249.121,2019,21
30010887,Gaps in health information exchange between hospitals that treat many shared patients,"Everson J, Adler-Milstein J.",Everson J,10.1093/jamia/ocy089,2018,12
31013696,Molecular and Functional Verification of Wharton's Jelly Mesenchymal Stem Cells (WJ-MSCs) Pluripotency,"Musiał-Wysocka A, Kot M, Sułkowski M, Badyra B, Majka M.",Musiał-Wysocka A,10.3390/ijms20081807,2019,12
32265179,Can primary total hip arthroplasty be performed in an outpatient setting? Prospective feasibility and safety study in 321 patients in a day-surgery unit,"Pansard E, Klouche S, Bauer T, Ménigaux C, Hardy P, Meziane AM.",Pansard E,10.1016/j.otsr.2019.12.021,2020,23
30154448,Biochemical re-programming of human dermal stem cells to neurons by increasing mitochondrial membrane potential,"Liu H, He Z, April SL, Trefny MP, Rougier JS, Salemi S, Olariu R, Widmer HR, Simon HU.",Liu H,10.1038/s41418-018-0182-8,2019,14
31254720,Physcomitrella as a model system for plant cell biology and organelle-organelle communication,"Falz AL, Müller-Schüssele SJ.",Falz AL,10.1016/j.pbi.2019.05.007,2019,12
28777945,Long-Term Engraftment of Primary Bone Marrow Stromal Cells Repairs Niche Damage and Improves Hematopoietic Stem Cell Transplantation,"Abbuehl JP, Tatarova Z, Held W, Huelsken J.",Abbuehl JP,10.1016/j.stem.2017.07.004,2017,17
36705137,Warts among Patients Visiting the Outpatient Department of Dermatology in a Tertiary Care Centre: A Descriptive Cross-sectional Study,"Karki S, Pradhan M, Rai A.",Karki S,10.31729/jnma.7544,2022,18
31746242,Orthotic care needs in a cohort of neurological rehabilitation inpatients,"Young J, Moss C.",Young J,10.1080/17483107.2019.1685018,2021,10
35954792,Healthcare Providers' Perceptions about the Role of Spiritual Care and Chaplaincy Services in Substance Use Outpatient Treatment,"Earl BSW, Klee A, Edens EL, Cooke JD, Heikkila H, Grau LE.",Earl BSW,10.3390/ijerph19159441,2022,17
33461548,Laboratory test ordering in inpatient hospitals: a systematic review on the effects and features of clinical decision support systems,"Zare S, Meidani Z, Shirdeli M, Nabovati E.",Zare S,10.1186/s12911-020-01384-8,2021,19
34703185,Nurses' Perspectives on Inpatient Care Responsiveness at the Gazan Public Hospitals,"Shaqura II, Jaafaripooyan E, Hosseini M, Shagora AERS, Sari AA.",Shaqura II,10.4314/ejhs.v31i4.20,2021,11
28453617,Clonal variation of human induced pluripotent stem cells for induction into the germ cell fate,"Yokobayashi S, Okita K, Nakagawa M, Nakamura T, Yabuta Y, Yamamoto T, Saitou M.",Yokobayashi S,10.1093/biolre/iox038,2017,15
34986493,Effect of Replacing Vendor QTc Alerts with a Custom QTc Risk Alert in Inpatients,"Stettner S, Adie S, Hanigan S, Thomas M, Pogue K, Zimmerman C.",Stettner S,10.1055/s-0041-1740483,2022,14
30255874,Response of macrophages and neural cells in contact with reduced graphene oxide microfibers,"Serrano MC, Feito MJ, González-Mayorga A, Diez-Orejas R, Matesanz MC, Portolés MT.",Serrano MC,10.1039/c8bm00902c,2018,13
31301276,Lidocaine turns the surface charge of biological membranes more positive and changes the permeability of blood-brain barrier culture models,"Santa-Maria AR, Walter FR, Valkai S, Brás AR, Mészáros M, Kincses A, Klepe A, Gaspar D, Castanho MARB, Zimányi L, Dér A, Deli MA.",Santa-Maria AR,10.1016/j.bbamem.2019.07.008,2019,19
36934026,The Patient's perspective: A review of the results from a radiotherapy patient experience survey in the North-West of England,"Hutton D, Booker P, Shuttleworth S, Hall T, Cain M, Murphy T, Woods L, Saunders D.",Hutton D,10.1016/j.radi.2023.02.019,2023,19
36848185,A Decentralized Marketplace for Patient-Generated Health Data: Design Science Approach,Subramanian H.,Subramanian H,10.2196/42743,2023,10
28746822,Astrocyte-enriched feeder layers from cryopreserved cells support differentiation of spontaneously active networks of human iPSC-derived neurons,"Schutte RJ, Xie Y, Ng NN, Figueroa P, Pham AT, O'Dowd DK.",Schutte RJ,10.1016/j.jneumeth.2017.07.019,2018,16
28315110,Impact of Astrocytes on the Injury Induced by In Vitro Ischemia,"Roque C, Baltazar G.",Roque C,10.1007/s10571-017-0483-3,2017,11
31031192,Comparative RNAi Screens in Isogenic Human Stem Cells Reveal SMARCA4 as a Differential Regulator,"Güneş C, Paszkowski-Rogacz M, Rahmig S, Khattak S, Camgöz A, Wermke M, Dahl A, Bornhäuser M, Waskow C, Buchholz F.",Güneş C,10.1016/j.stemcr.2019.03.012,2019,14
35392716,A Unitary Caring Theory Perspective of Family Caregiving for Patients Hospitalized With a Stroke in Saudi Arabia,"Alselami S, Butcher HK.",Alselami S,10.1177/08943184211070608,2022,17
33779276,Borderline Personality Disorder Diagnosis and Symptoms in Outpatient Youth as Risk Factors for Criminal Offenses and Interpersonal Violence,"Cavelti M, Thompson K, Betts J, Fowler C, Luebbers S, Cotton SM, Chanen AM.",Cavelti M,10.1521/pedi_2021_35_503,2021,18
27452176,Conversion of Human Gastric Epithelial Cells to Multipotent Endodermal Progenitors using Defined Small Molecules,"Wang Y, Qin J, Wang S, Zhang W, Duan J, Zhang J, Wang X, Yan F, Chang M, Liu X, Feng B, Liu J, Pei X.",Wang Y,10.1016/j.stem.2016.06.006,2016,14
30907807,Paracrine Effects of Adipose-Derived Stem Cells Promote Lymphangiogenesis in Irradiated Lymphatic Endothelial Cells,"Saijo H, Suzuki K, Yoshimoto H, Imamura Y, Yamashita S, Tanaka K.",Saijo H,10.1097/PRS.0000000000005669,2019,13
25727396,Environmental physical cues determine the lineage specification of mesenchymal stem cells,"Huang C, Dai J, Zhang XA.",Huang C,10.1016/j.bbagen.2015.02.011,2015,11
34731198,Triaging and referring in adjacent general and emergency departments (the TRIAGE trial): A cluster randomised controlled trial,"Morreel S, Philips H, De Graeve D, Monsieurs KG, Kampen JK, Meysman J, Lefevre E, Verhoeven V.",Morreel S,10.1371/journal.pone.0258561,2021,17
